Time resolution is 1 ps
TIME=0 rst=1 we=0 re=0 data_in=00 data_out=xx full=x empty=x overflow=0 underflow=0
TIME=20000 rst=0 we=0 re=0 data_in=00 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=30000 rst=0 we=1 re=0 data_in=11 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=40000 rst=0 we=1 re=0 data_in=22 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=50000 rst=0 we=1 re=0 data_in=33 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=60000 rst=0 we=1 re=0 data_in=44 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=70000 rst=0 we=1 re=0 data_in=55 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=80000 rst=0 we=1 re=0 data_in=66 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=90000 rst=0 we=1 re=0 data_in=77 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=100000 rst=0 we=1 re=0 data_in=88 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=110000 rst=0 we=1 re=0 data_in=99 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=120000 rst=0 we=0 re=0 data_in=99 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=140000 rst=0 we=0 re=1 data_in=99 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=230000 rst=0 we=0 re=0 data_in=99 data_out=xx full=0 empty=1 overflow=0 underflow=0
TIME=260000 rst=0 we=0 re=1 data_in=99 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=280000 rst=0 we=1 re=1 data_in=9a data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=290000 rst=0 we=1 re=1 data_in=9b data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=300000 rst=0 we=1 re=1 data_in=9c data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=310000 rst=0 we=1 re=1 data_in=9d data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=320000 rst=0 we=1 re=1 data_in=9e data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=330000 rst=0 we=1 re=1 data_in=9f data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=340000 rst=0 we=1 re=1 data_in=a0 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=350000 rst=0 we=1 re=1 data_in=a1 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=360000 rst=0 we=1 re=1 data_in=a2 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=370000 rst=0 we=1 re=1 data_in=a3 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=380000 rst=0 we=1 re=1 data_in=a4 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=390000 rst=0 we=1 re=1 data_in=a5 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=400000 rst=0 we=1 re=1 data_in=a6 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=410000 rst=0 we=1 re=1 data_in=a7 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=420000 rst=0 we=1 re=1 data_in=a8 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=430000 rst=0 we=1 re=1 data_in=a9 data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=440000 rst=0 we=1 re=1 data_in=aa data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=450000 rst=0 we=1 re=1 data_in=ab data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=460000 rst=0 we=1 re=1 data_in=ac data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=470000 rst=0 we=1 re=1 data_in=ad data_out=xx full=0 empty=1 overflow=0 underflow=1
TIME=480000 rst=0 we=0 re=1 data_in=ad data_out=xx full=0 empty=1 overflow=0 underflow=1
$finish called at time : 530 ns : File "/home/dlohchab/projects/Verilog/fifo_memory/fifo_memory.srcs/sim_1/new/top_sim.v" Line 116
